assignment_id,student_id,course_code,assignment_num,status,score,submission_delay_days,due_week
ASN_STU106_08,STU106,CS303,8,submitted,95,0,2
ASN_STU106_09,STU106,CS304,9,submitted,99,0,2
ASN_STU106_10,STU106,CS305,10,submitted,88,0,2
ASN_STU106_11,STU106,CS301,11,submitted,97,0,3
ASN_STU106_12,STU106,CS302,12,submitted,95,0,3
ASN_STU106_13,STU106,CS303,13,submitted,87,0,3
ASN_STU106_14,STU106,CS304,14,submitted,85,0,3
ASN_STU106_15,STU106,CS305,15,submitted,90,0,3
ASN_STU106_16,STU106,CS301,16,submitted,86,0,4
ASN_STU106_17,STU106,CS302,17,submitted,92,0,4
ASN_STU106_18,STU106,CS303,18,submitted,94,0,4
ASN_STU106_19,STU106,CS304,19,submitted,89,0,4
ASN_STU106_20,STU106,CS305,20,submitted,91,0,4
ASN_STU107_01,STU107,CS301,1,late,75,2,1
ASN_STU107_02,STU107,CS302,2,late,75,2,1
ASN_STU107_03,STU107,CS303,3,late,75,2,1
ASN_STU107_04,STU107,CS304,4,submitted,85,0,1
ASN_STU107_05,STU107,CS305,5,submitted,85,0,1
ASN_STU107_06,STU107,CS301,6,submitted,85,0,2
ASN_STU107_07,STU107,CS302,7,submitted,85,0,2
ASN_STU107_08,STU107,CS303,8,submitted,85,0,2
ASN_STU107_09,STU107,CS304,9,submitted,85,0,2
ASN_STU107_10,STU107,CS305,10,submitted,85,0,2
ASN_STU107_11,STU107,CS301,11,submitted,85,0,3
ASN_STU107_12,STU107,CS302,12,submitted,85,0,3
ASN_STU107_13,STU107,CS303,13,submitted,85,0,3
ASN_STU107_14,STU107,CS304,14,submitted,85,0,3
ASN_STU107_15,STU107,CS305,15,submitted,85,0,3
ASN_STU107_16,STU107,CS301,16,submitted,85,0,4
ASN_STU107_17,STU107,CS302,17,submitted,85,0,4
ASN_STU107_18,STU107,CS303,18,submitted,85,0,4
ASN_STU107_19,STU107,CS304,19,submitted,85,0,4
ASN_STU107_20,STU107,CS305,20,submitted,85,0,4
ASN_STU108_01,STU108,CS301,1,submitted,96,0,1
ASN_STU108_02,STU108,CS302,2,submitted,86,0,1
ASN_STU108_03,STU108,CS303,3,submitted,98,0,1
ASN_STU108_04,STU108,CS304,4,submitted,89,0,1
ASN_STU108_05,STU108,CS305,5,submitted,92,0,1
ASN_STU108_06,STU108,CS301,6,submitted,95,0,2
ASN_STU108_07,STU108,CS302,7,submitted,93,0,2
ASN_STU108_08,STU108,CS303,8,submitted,86,0,2
ASN_STU108_09,STU108,CS304,9,submitted,96,0,2
ASN_STU108_10,STU108,CS305,10,submitted,87,0,2
ASN_STU108_11,STU108,CS301,11,submitted,87,0,3
ASN_STU108_12,STU108,CS302,12,submitted,85,0,3
ASN_STU108_13,STU108,CS303,13,submitted,92,0,3
ASN_STU108_14,STU108,CS304,14,submitted,90,0,3
ASN_STU108_15,STU108,CS305,15,submitted,96,0,3
ASN_STU108_16,STU108,CS301,16,submitted,97,0,4
ASN_STU108_17,STU108,CS302,17,submitted,92,0,4
ASN_STU108_18,STU108,CS303,18,submitted,95,0,4
ASN_STU108_19,STU108,CS304,19,submitted,93,0,4
ASN_STU108_20,STU108,CS305,20,submitted,89,0,4
ASN_STU109_01,STU109,CS301,1,submitted,91,0,1
ASN_STU109_02,STU109,CS302,2,submitted,99,0,1
ASN_STU109_03,STU109,CS303,3,submitted,99,0,1
ASN_STU109_04,STU109,CS304,4,submitted,85,0,1
ASN_STU109_05,STU109,CS305,5,submitted,93,0,1
ASN_STU109_06,STU109,CS301,6,submitted,85,0,2
ASN_STU109_07,STU109,CS302,7,submitted,85,0,2
ASN_STU109_08,STU109,CS303,8,submitted,99,0,2
ASN_STU109_09,STU109,CS304,9,submitted,91,0,2
ASN_STU109_10,STU109,CS305,10,submitted,86,0,2
ASN_STU109_11,STU109,CS301,11,submitted,98,0,3
ASN_STU109_12,STU109,CS302,12,submitted,89,0,3
ASN_STU109_13,STU109,CS303,13,submitted,92,0,3
ASN_STU109_14,STU109,CS304,14,submitted,92,0,3
ASN_STU109_15,STU109,CS305,15,submitted,87,0,3
ASN_STU109_16,STU109,CS301,16,submitted,91,0,4
ASN_STU109_17,STU109,CS302,17,submitted,87,0,4
ASN_STU109_18,STU109,CS303,18,submitted,90,0,4
ASN_STU109_19,STU109,CS304,19,submitted,90,0,4
ASN_STU109_20,STU109,CS305,20,submitted,87,0,4
ASN_STU110_01,STU110,CS301,1,submitted,88,0,1
ASN_STU110_02,STU110,CS302,2,submitted,90,0,1
ASN_STU110_03,STU110,CS303,3,submitted,86,0,1
ASN_STU110_04,STU110,CS304,4,submitted,94,0,1
ASN_STU110_05,STU110,CS305,5,submitted,89,0,1
ASN_STU110_06,STU110,CS301,6,submitted,95,0,2
ASN_STU110_07,STU110,CS302,7,submitted,94,0,2
ASN_STU110_08,STU110,CS303,8,submitted,85,0,2
ASN_STU110_09,STU110,CS304,9,submitted,90,0,2
ASN_STU110_10,STU110,CS305,10,submitted,90,0,2
ASN_STU110_11,STU110,CS301,11,submitted,97,0,3
ASN_STU110_12,STU110,CS302,12,submitted,99,0,3
ASN_STU110_13,STU110,CS303,13,submitted,99,0,3
ASN_STU110_14,STU110,CS304,14,submitted,88,0,3
ASN_STU110_15,STU110,CS305,15,submitted,97,0,3
ASN_STU110_16,STU110,CS301,16,submitted,92,0,4
ASN_STU110_17,STU110,CS302,17,submitted,88,0,4
ASN_STU110_18,STU110,CS303,18,submitted,92,0,4
ASN_STU110_19,STU110,CS304,19,submitted,99,0,4
ASN_STU110_20,STU110,CS305,20,submitted,97,0,4
ASN_STU111_01,STU111,CS301,1,submitted,92,0,1
ASN_STU111_02,STU111,CS302,2,submitted,91,0,1
ASN_STU111_03,STU111,CS303,3,submitted,99,0,1
ASN_STU111_04,STU111,CS304,4,submitted,94,0,1
ASN_STU111_05,STU111,CS305,5,submitted,98,0,1
ASN_STU111_06,STU111,CS301,6,submitted,95,0,2
ASN_STU111_07,STU111,CS302,7,submitted,96,0,2
ASN_STU111_08,STU111,CS303,8,submitted,94,0,2
ASN_STU111_09,STU111,CS304,9,submitted,97,0,2
ASN_STU111_10,STU111,CS305,10,submitted,92,0,2
ASN_STU111_11,STU111,CS301,11,submitted,98,0,3
ASN_STU111_12,STU111,CS302,12,submitted,86,0,3
ASN_STU111_13,STU111,CS303,13,submitted,93,0,3
ASN_STU111_14,STU111,CS304,14,submitted,85,0,3
ASN_STU111_15,STU111,CS305,15,submitted,99,0,3
ASN_STU111_16,STU111,CS301,16,submitted,92,0,4
ASN_STU111_17,STU111,CS302,17,submitted,96,0,4
ASN_STU111_18,STU111,CS303,18,submitted,95,0,4
ASN_STU111_19,STU111,CS304,19,submitted,96,0,4
ASN_STU111_20,STU111,CS305,20,submitted,96,0,4
ASN_STU112_01,STU112,CS301,1,missed,0,-1,1
ASN_STU112_02,STU112,CS302,2,missed,0,-1,1
ASN_STU112_03,STU112,CS303,3,missed,0,-1,1
ASN_STU112_04,STU112,CS304,4,late,60,4,1
ASN_STU112_05,STU112,CS305,5,late,60,4,1
ASN_STU112_06,STU112,CS301,6,late,60,4,2
ASN_STU112_07,STU112,CS302,7,submitted,80,0,2
ASN_STU112_08,STU112,CS303,8,submitted,80,0,2
ASN_STU112_09,STU112,CS304,9,submitted,80,0,2
ASN_STU112_10,STU112,CS305,10,submitted,80,0,2
ASN_STU112_11,STU112,CS301,11,submitted,80,0,3
ASN_STU112_12,STU112,CS302,12,submitted,80,0,3
ASN_STU112_13,STU112,CS303,13,submitted,80,0,3
ASN_STU112_14,STU112,CS304,14,submitted,80,0,3
ASN_STU112_15,STU112,CS305,15,submitted,80,0,3
ASN_STU112_16,STU112,CS301,16,submitted,80,0,4
ASN_STU112_17,STU112,CS302,17,submitted,80,0,4
ASN_STU112_18,STU112,CS303,18,submitted,80,0,4
ASN_STU112_19,STU112,CS304,19,submitted,80,0,4
ASN_STU112_20,STU112,CS305,20,submitted,80,0,4
ASN_STU113_01,STU113,CS301,1,submitted,89,0,1
ASN_STU113_02,STU113,CS302,2,submitted,89,0,1
ASN_STU113_03,STU113,CS303,3,submitted,94,0,1
ASN_STU113_04,STU113,CS304,4,submitted,98,0,1
ASN_STU113_05,STU113,CS305,5,submitted,88,0,1
ASN_STU113_06,STU113,CS301,6,submitted,90,0,2
ASN_STU113_07,STU113,CS302,7,submitted,91,0,2
ASN_STU113_08,STU113,CS303,8,submitted,93,0,2
ASN_STU113_09,STU113,CS304,9,submitted,85,0,2
ASN_STU113_10,STU113,CS305,10,submitted,99,0,2
ASN_STU113_11,STU113,CS301,11,submitted,90,0,3
ASN_STU113_12,STU113,CS302,12,submitted,91,0,3
ASN_STU113_13,STU113,CS303,13,submitted,87,0,3
ASN_STU113_14,STU113,CS304,14,submitted,92,0,3
ASN_STU113_15,STU113,CS305,15,submitted,99,0,3
ASN_STU113_16,STU113,CS301,16,submitted,89,0,4
ASN_STU113_17,STU113,CS302,17,submitted,99,0,4
ASN_STU113_18,STU113,CS303,18,submitted,93,0,4
ASN_STU113_19,STU113,CS304,19,submitted,89,0,4
ASN_STU113_20,STU113,CS305,20,submitted,93,0,4
ASN_STU114_01,STU114,CS301,1,submitted,97,0,1
ASN_STU114_02,STU114,CS302,2,submitted,99,0,1
ASN_STU114_03,STU114,CS303,3,submitted,95,0,1
ASN_STU114_04,STU114,CS304,4,submitted,90,0,1
ASN_STU114_05,STU114,CS305,5,submitted,94,0,1
ASN_STU114_06,STU114,CS301,6,submitted,96,0,2
ASN_STU114_07,STU114,CS302,7,submitted,86,0,2
ASN_STU114_08,STU114,CS303,8,submitted,89,0,2
ASN_STU114_09,STU114,CS304,9,submitted,85,0,2
ASN_STU114_10,STU114,CS305,10,submitted,91,0,2
ASN_STU114_11,STU114,CS301,11,submitted,85,0,3
ASN_STU114_12,STU114,CS302,12,submitted,88,0,3
ASN_STU114_13,STU114,CS303,13,submitted,93,0,3
ASN_STU114_14,STU114,CS304,14,submitted,85,0,3
ASN_STU114_15,STU114,CS305,15,submitted,88,0,3
ASN_STU114_16,STU114,CS301,16,submitted,90,0,4
ASN_STU114_17,STU114,CS302,17,submitted,90,0,4
ASN_STU114_18,STU114,CS303,18,submitted,96,0,4
ASN_STU114_19,STU114,CS304,19,submitted,99,0,4
ASN_STU114_20,STU114,CS305,20,submitted,97,0,4
ASN_STU115_01,STU115,CS301,1,late,75,2,1
ASN_STU115_02,STU115,CS302,2,late,75,2,1
ASN_STU115_03,STU115,CS303,3,late,75,2,1
ASN_STU115_04,STU115,CS304,4,submitted,85,0,1
ASN_STU115_05,STU115,CS305,5,submitted,85,0,1
ASN_STU115_06,STU115,CS301,6,submitted,85,0,2
ASN_STU115_07,STU115,CS302,7,submitted,85,0,2
ASN_STU115_08,STU115,CS303,8,submitted,85,0,2
ASN_STU115_09,STU115,CS304,9,submitted,85,0,2
ASN_STU115_10,STU115,CS305,10,submitted,85,0,2
ASN_STU115_11,STU115,CS301,11,submitted,85,0,3
ASN_STU115_12,STU115,CS302,12,submitted,85,0,3
ASN_STU115_13,STU115,CS303,13,submitted,85,0,3
ASN_STU115_14,STU115,CS304,14,submitted,85,0,3
ASN_STU115_15,STU115,CS305,15,submitted,85,0,3
ASN_STU115_16,STU115,CS301,16,submitted,85,0,4
ASN_STU115_17,STU115,CS302,17,submitted,85,0,4
ASN_STU115_18,STU115,CS303,18,submitted,85,0,4
ASN_STU115_19,STU115,CS304,19,submitted,85,0,4
ASN_STU115_20,STU115,CS305,20,submitted,85,0,4
ASN_STU116_01,STU116,CS301,1,submitted,90,0,1
ASN_STU116_02,STU116,CS302,2,submitted,87,0,1
ASN_STU116_03,STU116,CS303,3,submitted,99,0,1
ASN_STU116_04,STU116,CS304,4,submitted,88,0,1
ASN_STU116_05,STU116,CS305,5,submitted,85,0,1
ASN_STU116_06,STU116,CS301,6,submitted,92,0,2
ASN_STU116_07,STU116,CS302,7,submitted,97,0,2
ASN_STU116_08,STU116,CS303,8,submitted,91,0,2
ASN_STU116_09,STU116,CS304,9,submitted,91,0,2
ASN_STU116_10,STU116,CS305,10,submitted,87,0,2
ASN_STU116_11,STU116,CS301,11,submitted,94,0,3
ASN_STU116_12,STU116,CS302,12,submitted,94,0,3
ASN_STU116_13,STU116,CS303,13,submitted,87,0,3
ASN_STU116_14,STU116,CS304,14,submitted,98,0,3
ASN_STU116_15,STU116,CS305,15,submitted,86,0,3
ASN_STU116_16,STU116,CS301,16,submitted,96,0,4
ASN_STU116_17,STU116,CS302,17,submitted,85,0,4
ASN_STU116_18,STU116,CS303,18,submitted,91,0,4
ASN_STU116_19,STU116,CS304,19,submitted,91,0,4
ASN_STU116_20,STU116,CS305,20,submitted,96,0,4
ASN_STU117_01,STU117,CS301,1,submitted,92,0,1
ASN_STU117_02,STU117,CS302,2,submitted,98,0,1
ASN_STU117_03,STU117,CS303,3,submitted,92,0,1
ASN_STU117_04,STU117,CS304,4,submitted,98,0,1
ASN_STU117_05,STU117,CS305,5,submitted,95,0,1
ASN_STU117_06,STU117,CS301,6,submitted,88,0,2
ASN_STU117_07,STU117,CS302,7,submitted,88,0,2
ASN_STU117_08,STU117,CS303,8,submitted,89,0,2
ASN_STU117_09,STU117,CS304,9,submitted,90,0,2
ASN_STU117_10,STU117,CS305,10,submitted,89,0,2
ASN_STU117_11,STU117,CS301,11,submitted,98,0,3
ASN_STU117_12,STU117,CS302,12,submitted,99,0,3
ASN_STU117_13,STU117,CS303,13,submitted,91,0,3
ASN_STU117_14,STU117,CS304,14,submitted,86,0,3
ASN_STU117_15,STU117,CS305,15,submitted,91,0,3
ASN_STU117_16,STU117,CS301,16,submitted,94,0,4
ASN_STU117_17,STU117,CS302,17,submitted,91,0,4
ASN_STU117_18,STU117,CS303,18,late,75,2,4
ASN_STU117_19,STU117,CS304,19,submitted,91,0,4
ASN_STU117_20,STU117,CS305,20,submitted,89,0,4
ASN_STU118_01,STU118,CS301,1,missed,0,-1,1
ASN_STU118_02,STU118,CS302,2,late,70,3,1
ASN_STU118_03,STU118,CS303,3,late,70,3,1
ASN_STU118_04,STU118,CS304,4,late,70,3,1
ASN_STU118_05,STU118,CS305,5,late,70,3,1
ASN_STU118_06,STU118,CS301,6,submitted,82,0,2
ASN_STU118_07,STU118,CS302,7,submitted,82,0,2
ASN_STU118_08,STU118,CS303,8,submitted,82,0,2
ASN_STU118_09,STU118,CS304,9,submitted,82,0,2
ASN_STU118_10,STU118,CS305,10,submitted,82,0,2
ASN_STU118_11,STU118,CS301,11,submitted,82,0,3
ASN_STU118_12,STU118,CS302,12,submitted,82,0,3
ASN_STU118_13,STU118,CS303,13,submitted,82,0,3
ASN_STU118_14,STU118,CS304,14,submitted,82,0,3
ASN_STU118_15,STU118,CS305,15,submitted,82,0,3
ASN_STU118_16,STU118,CS301,16,submitted,82,0,4
ASN_STU118_17,STU118,CS302,17,submitted,82,0,4
ASN_STU118_18,STU118,CS303,18,submitted,82,0,4
ASN_STU118_19,STU118,CS304,19,submitted,82,0,4
ASN_STU118_20,STU118,CS305,20,submitted,82,0,4
ASN_STU119_01,STU119,CS301,1,submitted,98,0,1
ASN_STU119_02,STU119,CS302,2,submitted,93,0,1
ASN_STU119_03,STU119,CS303,3,submitted,86,0,1
ASN_STU119_04,STU119,CS304,4,submitted,89,0,1
ASN_STU119_05,STU119,CS305,5,submitted,96,0,1
ASN_STU119_06,STU119,CS301,6,submitted,87,0,2
ASN_STU119_07,STU119,CS302,7,submitted,88,0,2
ASN_STU119_08,STU119,CS303,8,submitted,94,0,2
ASN_STU119_09,STU119,CS304,9,submitted,90,0,2
ASN_STU119_10,STU119,CS305,10,submitted,96,0,2
ASN_STU119_11,STU119,CS301,11,submitted,92,0,3
ASN_STU119_12,STU119,CS302,12,submitted,85,0,3
ASN_STU119_13,STU119,CS303,13,submitted,94,0,3
ASN_STU119_14,STU119,CS304,14,submitted,98,0,3
ASN_STU119_15,STU119,CS305,15,submitted,92,0,3
ASN_STU119_16,STU119,CS301,16,submitted,95,0,4
ASN_STU119_17,STU119,CS302,17,submitted,98,0,4
ASN_STU119_18,STU119,CS303,18,submitted,91,0,4
ASN_STU119_19,STU119,CS304,19,submitted,85,0,4
ASN_STU119_20,STU119,CS305,20,submitted,86,0,4
ASN_STU120_01,STU120,CS301,1,submitted,88,0,1
ASN_STU120_02,STU120,CS302,2,submitted,93,0,1
ASN_STU120_03,STU120,CS303,3,submitted,90,0,1
ASN_STU120_04,STU120,CS304,4,submitted,86,0,1
ASN_STU120_05,STU120,CS305,5,submitted,85,0,1
ASN_STU120_06,STU120,CS301,6,submitted,89,0,2
ASN_STU120_07,STU120,CS302,7,submitted,93,0,2
ASN_STU120_08,STU120,CS303,8,submitted,90,0,2
ASN_STU120_09,STU120,CS304,9,submitted,94,0,2
ASN_STU120_10,STU120,CS305,10,submitted,96,0,2
ASN_STU120_11,STU120,CS301,11,submitted,91,0,3
ASN_STU120_12,STU120,CS302,12,submitted,89,0,3
ASN_STU120_13,STU120,CS303,13,submitted,94,0,3
ASN_STU120_14,STU120,CS304,14,submitted,90,0,3
ASN_STU120_15,STU120,CS305,15,submitted,89,0,3
ASN_STU120_16,STU120,CS301,16,submitted,95,0,4
ASN_STU120_17,STU120,CS302,17,submitted,93,0,4
ASN_STU120_18,STU120,CS303,18,submitted,99,0,4
ASN_STU120_19,STU120,CS304,19,submitted,90,0,4
ASN_STU120_20,STU120,CS305,20,submitted,95,0,4
ASN_STU121_01,STU121,CS301,1,late,75,2,1
ASN_STU121_02,STU121,CS302,2,late,75,2,1
ASN_STU121_03,STU121,CS303,3,late,75,2,1
ASN_STU121_04,STU121,CS304,4,submitted,85,0,1
ASN_STU121_05,STU121,CS305,5,submitted,85,0,1
ASN_STU121_06,STU121,CS301,6,submitted,85,0,2
ASN_STU121_07,STU121,CS302,7,submitted,85,0,2
ASN_STU121_08,STU121,CS303,8,submitted,85,0,2
ASN_STU121_09,STU121,CS304,9,submitted,85,0,2
ASN_STU121_10,STU121,CS305,10,submitted,85,0,2
ASN_STU121_11,STU121,CS301,11,submitted,85,0,3
ASN_STU121_12,STU121,CS302,12,submitted,85,0,3
ASN_STU121_13,STU121,CS303,13,submitted,85,0,3
ASN_STU121_14,STU121,CS304,14,submitted,85,0,3
ASN_STU121_15,STU121,CS305,15,submitted,85,0,3
ASN_STU121_16,STU121,CS301,16,submitted,85,0,4
ASN_STU121_17,STU121,CS302,17,submitted,85,0,4
ASN_STU121_18,STU121,CS303,18,submitted,85,0,4
ASN_STU121_19,STU121,CS304,19,submitted,85,0,4
ASN_STU121_20,STU121,CS305,20,submitted,85,0,4
ASN_STU122_01,STU122,CS301,1,submitted,97,0,1
ASN_STU122_02,STU122,CS302,2,submitted,89,0,1
ASN_STU122_03,STU122,CS303,3,submitted,95,0,1
ASN_STU122_04,STU122,CS304,4,submitted,92,0,1
ASN_STU122_05,STU122,CS305,5,submitted,95,0,1
ASN_STU122_06,STU122,CS301,6,submitted,88,0,2
ASN_STU122_07,STU122,CS302,7,submitted,85,0,2
ASN_STU122_08,STU122,CS303,8,submitted,95,0,2
ASN_STU122_09,STU122,CS304,9,submitted,91,0,2
ASN_STU122_10,STU122,CS305,10,submitted,92,0,2
ASN_STU122_11,STU122,CS301,11,submitted,87,0,3
ASN_STU122_12,STU122,CS302,12,submitted,90,0,3
ASN_STU122_13,STU122,CS303,13,submitted,86,0,3
ASN_STU122_14,STU122,CS304,14,submitted,91,0,3
ASN_STU122_15,STU122,CS305,15,submitted,99,0,3
ASN_STU122_16,STU122,CS301,16,submitted,92,0,4
ASN_STU122_17,STU122,CS302,17,submitted,90,0,4
ASN_STU122_18,STU122,CS303,18,submitted,90,0,4
ASN_STU122_19,STU122,CS304,19,submitted,89,0,4
ASN_STU122_20,STU122,CS305,20,submitted,92,0,4
ASN_STU123_01,STU123,CS301,1,submitted,95,0,1
ASN_STU123_02,STU123,CS302,2,submitted,92,0,1
ASN_STU123_03,STU123,CS303,3,submitted,94,0,1
ASN_STU123_04,STU123,CS304,4,submitted,93,0,1
ASN_STU123_05,STU123,CS305,5,submitted,91,0,1
ASN_STU123_06,STU123,CS301,6,submitted,87,0,2
ASN_STU123_07,STU123,CS302,7,submitted,87,0,2
ASN_STU123_08,STU123,CS303,8,submitted,86,0,2
ASN_STU123_09,STU123,CS304,9,submitted,89,0,2
ASN_STU123_10,STU123,CS305,10,submitted,96,0,2
ASN_STU123_11,STU123,CS301,11,submitted,96,0,3
ASN_STU123_12,STU123,CS302,12,submitted,87,0,3
ASN_STU123_13,STU123,CS303,13,submitted,98,0,3
ASN_STU123_14,STU123,CS304,14,submitted,90,0,3
ASN_STU123_15,STU123,CS305,15,submitted,86,0,3
ASN_STU123_16,STU123,CS301,16,submitted,96,0,4
ASN_STU123_17,STU123,CS302,17,submitted,87,0,4
ASN_STU123_18,STU123,CS303,18,submitted,89,0,4
ASN_STU123_19,STU123,CS304,19,submitted,96,0,4
ASN_STU123_20,STU123,CS305,20,submitted,95,0,4
ASN_STU124_01,STU124,CS301,1,submitted,99,0,1
ASN_STU124_02,STU124,CS302,2,submitted,95,0,1
ASN_STU124_03,STU124,CS303,3,submitted,94,0,1
ASN_STU124_04,STU124,CS304,4,submitted,93,0,1
ASN_STU124_05,STU124,CS305,5,submitted,97,0,1
